Closing Price,Percent Change,Volume,PEG Ratio,Short Ratio,Pct Change From Year High,Pct Change From Year Low,Pct Change from 50 day mAvg,Ratio of price to 1 yr target price
6.03,-5.63,345,0.00,1.66,-20.66,30.80,1.96,0.8614285714285714
14.55,-0.68,19032,1.46,4.01,-24.81,20.95,-2.84,0.7657894736842106
27.97,-0.57,19225,0.00,8.47,-13.41,14.77,-1.27,1.0757692307692308
1.19,0.85,62244,0.00,0.94,-61.49,7.21,-7.05,0.15951742627345844
20.62,-4.58,346600,0.00,3.00,-13.18,251.88,3.09,0.6731962128632061
22.45,-0.88,303171,0.76,20.86,-3.23,100.63,13.87,1.047596826878208
14.38,-1.78,894660,1.97,9.13,-28.03,28.16,10.93,0.7281012658227849
41.15,-0.22,1485383,2.45,1.83,-0.75,26.07,2.78,0.9144444444444444
64.30,-1.23,41897,1.72,10.91,-7.34,28.55,-0.29,0.9056338028169014
38.14,-0.75,98081,0.00,3.05,-3.83,62.30,12.50,0.9336597307221542
16.15,-3.98,592698,-2.20,3.92,-25.20,67.71,-15.69,0.7511627906976743
7.05,-1.40,68927,0.00,6.49,-55.69,6.02,-24.43,0.5626496408619314
2.1664,-3.7156,58003,-0.7900,0.6800,-22.6286,58.1314,-11.1596,0.5097411764705883
33.50,-1.62,233743,1.82,7.42,-6.82,54.88,-0.68,0.9852941176470589
1.07,-4.46,347920,-0.08,8.53,-77.94,37.18,-6.79,0.3566666666666667
